epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,7442.58,0.62045,0.87198,0.42249,0.97226,0.799,0.68605,0.76951,0.46492,0.86455,0.61628,0.67751,0.37703,1.50161,3.61463,1.29067,1.72117,0.0009044,0.0009044,0.0009044
85,7536.67,0.63465,0.89414,0.43837,0.96616,0.87181,0.54651,0.66967,0.40167,0.87181,0.54651,0.60268,0.34068,1.53485,3.75409,1.51429,1.72457,0.0008912,0.0008912,0.0008912
86,7626.85,0.61545,0.87435,0.42334,0.9527,0.74253,0.60363,0.62594,0.36734,0.72838,0.59245,0.53847,0.304,1.56211,3.64268,1.60265,1.76263,0.000878,0.000878,0.000878
87,7716.99,0.60184,0.8653,0.41171,0.95115,0.70107,0.60465,0.65067,0.38628,0.70107,0.60465,0.57531,0.32256,1.59493,3.87852,1.45001,1.78454,0.0008648,0.0008648,0.0008648
88,7807.21,0.6001,0.816,0.41303,0.94977,0.72148,0.69767,0.70475,0.44531,0.76786,0.5814,0.61525,0.34677,1.46456,3.75697,1.25637,1.74143,0.0008516,0.0008516,0.0008516
89,7891.92,0.62461,0.84709,0.41415,0.95057,0.88816,0.56977,0.71403,0.42534,0.89902,0.55814,0.62122,0.35248,1.56408,3.5605,1.24834,1.78733,0.0008384,0.0008384,0.0008384
90,7980.95,0.60651,0.84088,0.41439,0.94586,0.66458,0.68605,0.67528,0.41024,0.68633,0.56977,0.57836,0.34148,1.4937,3.42624,1.29808,1.7583,0.0008252,0.0008252,0.0008252
91,8069.92,0.57316,0.8144,0.39085,0.93837,0.63535,0.72938,0.63722,0.37313,0.67241,0.5814,0.54834,0.30311,1.57931,3.54689,1.28511,1.87001,0.000812,0.000812,0.000812
92,8159.66,0.58266,0.8103,0.39456,0.95022,0.62061,0.69767,0.68034,0.41926,0.67845,0.5814,0.59416,0.33176,1.57517,4.11034,1.25649,1.77265,0.0007988,0.0007988,0.0007988
93,8244.61,0.58013,0.80679,0.38922,0.93907,0.88076,0.51539,0.72392,0.43393,0.88119,0.51751,0.6482,0.36284,1.55515,3.74998,1.32322,1.7337,0.0007856,0.0007856,0.0007856
94,8331.43,0.60643,0.82695,0.41067,0.95551,0.71104,0.59302,0.67584,0.39725,0.6971,0.5814,0.57971,0.31833,1.57709,3.65856,1.44508,1.83023,0.0007724,0.0007724,0.0007724
95,8415.31,0.56804,0.8131,0.39964,0.93173,0.8289,0.56338,0.66517,0.40384,0.8289,0.56338,0.6438,0.34883,1.59423,3.78562,1.45429,1.79386,0.0007592,0.0007592,0.0007592
96,8501.32,0.55911,0.77568,0.38159,0.93862,0.80517,0.59302,0.70401,0.41366,0.83318,0.58075,0.64165,0.35148,1.67847,4.16728,1.18286,1.9233,0.000746,0.000746,0.000746
97,8590.19,0.55129,0.79499,0.38492,0.93805,0.65637,0.66634,0.66787,0.40478,0.71674,0.56977,0.577,0.31741,1.54455,4.10108,1.42341,1.77393,0.0007328,0.0007328,0.0007328
98,8679.79,0.57845,0.81113,0.39628,0.93866,0.70214,0.60465,0.66683,0.39347,0.70214,0.60465,0.60847,0.3291,1.62013,3.82931,1.28144,1.84615,0.0007196,0.0007196,0.0007196
99,8770.21,0.57536,0.81794,0.39071,0.93965,0.7218,0.67442,0.7337,0.43649,0.84957,0.59105,0.63516,0.35731,1.54566,3.92957,1.17154,1.79291,0.0007064,0.0007064,0.0007064
100,8859.89,0.55507,0.77706,0.37751,0.93867,0.73021,0.72387,0.74586,0.43385,0.82196,0.59302,0.63393,0.34433,1.52289,3.60702,1.13819,1.78569,0.0006932,0.0006932,0.0006932
